name,district,type
"Annapoorana Engineering College , Sankari Main Road (NH-47), Peri…",SALEM,Self-Financing T3
"Christ The King Engineering College, Cecilia Gardens, Chikkarampa…",COIMBATORE,Self-Financing T3
"Jai Shriram Engineering College , Dharapuram Road, Tirupur-638660…",TIRUPPUR,Self-Financing T3
"AL-Ameen Engineering College , Karundevanpalayam, Nanjai Uthukkul…",ERODE,Self-Financing T3
"Knowledge Institute of Technology , KIOT Campus, Kakapalayam (PO)…",SALEM,Self-Financing T3
"Kangeyam Institute of Technology , (formerly Builders Engineering…",TIRUPPUR,Self-Financing T3
"V S A Group of Institutions, NH-47 Main Road, Uthamasolapuram Pos…",SALEM,Self-Financing T3
"Salem College of Engineering and Technology, NH-68 Salem-Attur Ma…",SALEM,Self-Financing T3
"Sree Sakthi Engineering College , 899/1 & 898/2, Bettathapuram, B…",COIMBATORE,Self-Financing T3
"Shreenivasa Engineering College, B.Pallipatti, Bommidi, Pappiredd…",DHARMAPURI,Self-Financing T3
"Bannari Amman Institute of Technology , Sathy-Bhavani Road, (Stat…",ERODE,Self-Financing T1
"Coimbatore Institute of Engineering and Technology , Vellimalaipa…",COIMBATORE,Self-Financing T3
"CSI College of Engineering, Ketti Valley, The Nilgiris-643215.",THE NILGIRIS,Self-Financing T3
"Dr Mahalingam College of Engineering and Technology , Mackkinaick…",COIMBATORE,Self-Financing T1
"Erode Sengunthar Engineering College , Thudupathi, Perundurai (Tk…",ERODE,Self-Financing T3
"Hindusthan College of Engineering and Technology , Othakkalmandap…",COIMBATORE,Self-Financing T3
Government College of Engineering (Formerly Institute of Road and…,ERODE,Government
"Karpagam College of Engineering , S.F.No.758,759,760 Othakkal Man…",COIMBATORE,Self-Financing T1
"Kongu Engineering College , Perundurai Railway Station Road,Thopp…",ERODE,Self-Financing T1
"Kumaraguru College of Technology , Chinnavedampatti, Coimbatore-6…",COIMBATORE,Self-Financing T1
"M.P.Nachimuthu M.Jaganathan Engineering College, Chennimalai, Ero…",ERODE,Self-Financing T3
"Nandha Engineering College , 28, Chennimalaipalayam Road, Pitchan…",ERODE,Self-Financing T3
"Park College of Engineering and Technology , Avinashi Road (NH-47…",COIMBATORE,Self-Financing T3
"Sasurie College of Engineering, Vijayamangalam, Tirupur District-…",TIRUPPUR,Self-Financing T3
"Sri Krishna College of Engineering and Technology , Sugunapuram, …",COIMBATORE,Self-Financing T1
"Sri Ramakrishna Engineering College , Vattamalaipalayam, NGGO Col…",COIMBATORE,Self-Financing T1
"Tamilnadu College of Engineering, Palanisame Ravi Nagar, Karumath…",COIMBATORE,Self-Financing T3
"Velalar College of Engineering and Technology , Perundurai Road T…",ERODE,Self-Financing T3
"Sri Ramakrishna Institute of Technology , Pachapalayam, Perur Che…",COIMBATORE,Self-Financing T2
"SNS College of Technology , Sathy Main Road, Vazhiyampalayam, Sar…",COIMBATORE,Self-Financing T3
"Sri Shakthi Institute of Engineering and Technology , Sri Shakthi…",COIMBATORE,Self-Financing T3
"Nehru Institute of Engineering and Technology , Nehru Gardens, Th…",COIMBATORE,Self-Financing T3
"RVS College of Engineering and Technology , Kumaran Kottam Campus…",COIMBATORE,Self-Financing T3
"Info Institute of Engineering, S F No.194-200, N.H.209, Sathy Roa…",COIMBATORE,Self-Financing T3
"Angel College of Engineering and Technology, PK Palayam PO,Dharap…",TIRUPPUR,Self-Financing T3
"Karpagam Institute of Technology , S.F. NO. 247,248, L&T Bypass R…",COIMBATORE,Self-Financing T2
"Dr N.G.P. Institute of Technology , Dr. N.G.P. Nagar, Kalapatti R…",COIMBATORE,Self-Financing T3
"Sri Sai Ranganathan Engineering College , Viraliyur Post, Thondam…",COIMBATORE,Self-Financing T3
"Sri Eshwar College of Engineering , Kondampatti Post, Vadasithur …",COIMBATORE,Self-Financing T3
